"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0031547",388.817530628485,-1.41762508107656,0.205211092645326,-6.90813085590207,4.9108090792026e-12,2.83541547036107e-10
"FBgn0031548",79.9281559638276,-1.86932930283295,0.3119954253811,-5.99152792240327,2.07878623716048e-09,7.9131849549963e-08
"FBgn0020376",61.5415395908162,-1.57434470238636,0.338004151602565,-4.65776735262566,3.19657154681911e-06,7.45260298571403e-05
"FBgn0031688",47.3195212553983,1.4929433080125,0.369980703162991,4.03519236341038,5.45575807587674e-05,0.000914261303261701
"FBgn0031703",131.451280028389,-1.91952335899008,0.25104368398652,-7.64617268400645,2.07049572731672e-14,1.83633760227895e-12
"FBgn0051642",156.188390840951,1.94637702409877,0.221393196373857,8.79149430053849,1.47583713760499e-18,1.69288358597543e-16
"FBgn0259715",1168.7467051574,-1.8429584665482,0.183792491393825,-10.0273871504313,1.15533422986017e-23,1.97773847255267e-21
"FBgn0264343",57.1566285386695,1.57296984215475,0.328408495350967,4.78967464125351,1.67051953810977e-06,4.15360681686657e-05
"FBgn0031912",1975.09179774423,-1.14935830607455,0.103115726303615,-11.146295015082,7.46503290285283e-29,1.73572102873629e-26
"FBgn0040099",1269.36257331921,-1.78381534756892,0.133717961182972,-13.3401327075878,1.35218610379369e-40,6.12255634259847e-38
"FBgn0032004",1440.4614931961,-1.17666587111426,0.134564399480703,-8.74425833025026,2.24485313659492e-18,2.54111467554291e-16
"FBgn0001137",667.625236905826,-1.3863958993924,0.139578900002341,-9.93270400733311,3.00007557754414e-23,4.86974531954947e-21
"FBgn0264437",197.836508947753,2.71268413702631,0.240147532213293,11.295906778742,1.37477725476522e-29,3.37920249221291e-27
"FBgn0267252",158.761822995154,-1.36577633140807,0.202471376353497,-6.74552796551125,1.52471563527917e-11,7.99824915262602e-10
"FBgn0032405",116.002919219642,2.42193991505455,0.236804966295028,10.2275723053761,1.49212974347602e-24,2.67433170481755e-22
"FBgn0032436",30.042971275927,1.90188592204932,0.506129361038354,3.7577071564224,0.000171477392707298,0.00245870001576814
"FBgn0053307",1496.22318613873,-1.42276807612247,0.143281967330815,-9.92984743737873,3.08727535963307e-23,4.91848702202283e-21
"FBgn0028542",1721.45659146311,-1.05923319666666,0.150558599722551,-7.03535499545433,1.98754318610448e-12,1.23013194460841e-10
"FBgn0028939",31.5876850119852,-2.1229745755391,0.454441279342786,-4.67161473229138,2.98841096355746e-06,7.02439877581552e-05
"FBgn0027348",348.787809470494,-1.02983550016134,0.170538653923659,-6.03872187605249,1.55339722706136e-09,5.96601622518255e-08
"FBgn0260011",131.7733475217,2.31700196367928,0.228206950190701,10.1530736103483,3.21088471414786e-24,5.63739616241102e-22
"FBgn0062978",27.8192710519879,-1.47659146649091,0.443941515343433,-3.3260945765539,0.000880720395381464,0.00998265818375063
"FBgn0032598",472.928539647033,1.10374334538553,0.13357750530141,8.26294324703094,1.42123821969192e-16,1.37381038247299e-14
"FBgn0000406",390.717673301672,-2.09330284870723,0.21859398659748,-9.57621424674346,1.00667353679075e-21,1.41973974377227e-19
"FBgn0032638",187.693662653249,-1.44827135728272,0.211556215365784,-6.84579914033079,7.60501225031101e-12,4.27620394702128e-10
"FBgn0010097",161.282491661584,1.09039573763931,0.213096893678631,5.11690113739399,3.10596313598338e-07,8.87727603284552e-06
"FBgn0266020",26.7484688986199,1.65169696465992,0.501142375400745,3.2958637020849,0.000981196059858064,0.0109059815283707
"FBgn0023091",21.2341363919767,1.62884697782171,0.524909669947238,3.10309958280143,0.00191505189103935,0.0190025275877872
